district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12,2020_09
BAKSA,1878.1204627220443,1850.9776973365429,1877.382286321072,1878.6399335884066,1912.1572021181912,1921.716706197363,1910.1493832610718,1866.610201049997,1854.734192829813,1880.0119208074143,1876.0054300575819,1879.2643549149634,1880.2262701886532,1852.5736118622272,1872.3825839658791,1854.5379923559112,1894.5676553137357,1936.987612286442,1924.3167451921483,1873.5400513080026,1867.237430033386,1882.6793568374871,1881.717819643358,1878.016947497855,1878.678924926752,1852.836652166176,1867.9353843776244,1876.5587008997034,1908.475209355124,1919.1750831551024,1923.9429388117906,1861.076474091324,1857.3681927889563,1850.5956567541677,1882.7554077202005,1882.9816510939932,1878.0371526221838,1851.1524785524155,1876.0905283544523,1876.9700976892004,1918.4557802360741,1922.1654195528558,1929.9656772065296,1875.2058862311853,1875.2776253507627,1867.4565564803916,1884.5870326892148,1883.1458189448615,1879.344198010516,1848.7456363257565,1878.6099988523588,1868.8988781965522,1904.4832681727191,1926.0120835975733,1927.0552651790304,1866.1011631973536,1855.5397644375882,1878.439567735343,1879.9618444697599,1880.0849728695669,1880.397098954678,1849.9732100867488,1878.4641439871698,1876.4880217144273,1922.9714298474028,1920.8395611145597,1927.3047473802187,1866.298461129569,1878.4189866988825,1882.3705366453523,1882.6373629485338,1881.3516913375265,1879.772168490778,1851.0771694820676,1869.060531274731,1858.3968465488977,1911.212135442331,1920.3029538004146,1920.5891856459543,1869.7463690527939,1872.5972362743125,1883.2334315277312,1879.901737945105,1879.5949793091893,1851.6915901455377,1877.0491619548009,1877.5268021535694,1909.9387425628906,1930.8101668688828,1906.636380722162,1874.07926776315,1861.0928827977261,1875.061997143386,1878.6060040549457,1881.7380415854504,1879.6627071139728,1851.1422502585328,1876.0911702000844,1870.847167116885,1909.417149237844,1930.3631567750788,1932.4457866357952,1867.6561664328297,1856.9376054147729,1850.2553665257346,1883.0916448163537,1881.2965841997109,1879.7313384811307,1849.9933775958443,1869.7870317727436,1876.2982617383568,1918.392701108457,1929.70737043667,1891.4853903359428,1869.4859439704749,1877.3183368069122,1870.688572948628,1876.093399423263,1878.7221715092842,
BARPETA,1876.886089720651,1852.5243003438975,1877.629166082493,1876.9422050970984,1907.0868911104176,1929.4727038990693,1900.2421587621168,1866.3588680983546,1850.4354874508904,1878.8034930562048,1875.4134715018229,1874.9500705970443,1880.331901939598,1853.1679365094296,1854.5851487845239,1858.9145064490208,1906.7812349336668,1930.1302063434307,1923.9029563164993,1877.5118773872186,1876.8739283220536,1884.2829172648542,1881.3004363893454,1878.0177188926398,1878.5673529079916,1856.1310635642717,1877.2367199611447,1861.1462980946208,1916.4083375887449,1922.6890358513515,1925.215663715441,1857.845706956512,1857.5873807529138,1850.4102905420107,1879.585999168385,1882.8590327344562,1878.6828257688162,1850.2935899801785,1878.7692637965072,1872.475029344973,1921.8001735460973,1919.8963622155404,1932.4696247200493,1877.1392945719997,1880.843436498448,1850.218154923996,1883.9053935051065,1883.0214432102014,1880.2608218869398,1850.1287616516163,1877.3646019221853,1867.2249733594442,1896.0325921895417,1934.5537956429032,1929.658253295452,1867.2166506588874,1858.333412262508,1872.6719434511442,1880.35394395536,1881.2894580157397,1881.2642827656348,1852.6931167803612,1877.059816854711,1877.475095838883,1914.8754045772475,1914.820853445006,1927.686307771386,1866.181435261144,1877.5387400204856,1881.673979249305,1883.0014698543857,1881.399500477595,1880.3919762391101,1853.0173735953013,1858.9875137342192,1856.0169415125476,1911.2651800513333,1923.1406410309946,1914.9699071863263,1894.6044095610882,1851.5551537301665,1883.7255399297142,1880.6907145357052,1877.546012426707,1853.1784379064627,1876.3759276916603,1877.4896581874793,1907.878704184459,1929.2234443071854,1912.3772091915582,1878.230696483804,1873.5300339712976,1876.3725113444868,1879.3922690931277,1881.4600749079752,1877.7859969895578,1855.4625251298958,1877.7105056963437,1875.9185777128405,1922.6924401558415,1925.3763425998104,1921.1182129416363,1863.4003714026176,1857.9513114503036,1850.2763634472378,1882.0629290106572,1880.8607456831994,1880.425912976173,1850.2663923748237,1878.9238182476383,1877.4672253314511,1917.6726730134944,1920.8130315627996,,1868.9388532933415,1877.3602629437603,1850.5469185937925,1875.41652828566,1882.896160897129,
BISWANATH,1877.1876093595624,1847.456214513885,1870.095449442445,1874.942259474113,1915.2494706995187,1932.5059964683119,1932.940334545083,1871.8109952521231,1873.0795209581195,1880.755275581753,1879.063361593198,1876.7332117910714,1877.1472128155665,1849.4934645515043,1875.658745737914,1870.7304237610797,1913.7743046326032,1926.1686778971443,1929.5008488069082,1870.5651980264813,1872.6165021776064,1876.597065234317,1879.264829301031,1875.3340716114685,1875.9307563217253,1845.1141379904125,1870.8166323671046,1875.058636856393,1928.7306017003825,1926.1101719866156,,1868.786012734159,1866.9313418893971,1879.1833967925804,1880.2572723881167,1878.7098595672894,1876.2982851636566,1854.013789773644,1875.914574298377,1875.2439973727405,1908.6289516229635,1924.6785407928307,1922.9112742104512,1865.7004817850107,1857.6786209233037,1874.9788802594676,1876.596797507438,1876.6880483643722,1874.6854294137822,1854.559726435778,1865.955266641221,1871.9962686565068,1906.4395802141612,1924.2431349458739,1932.8542571836583,1877.4748692717167,1852.7014917336437,1874.4500662836874,1878.3493449475284,1876.2065725685356,1875.8794395697382,1848.0847662968206,1874.1747285447375,1866.5727068733856,1909.399559206049,1927.3870041098753,1931.9772987634974,1873.7027170604752,1875.2260286558258,1869.3734089810603,1878.7537177204058,1874.1534302997609,1874.2312675700516,1850.1981751165329,1875.2124995020513,1875.006844542493,1892.5704103804198,1921.1442087873318,,1869.6485683230444,1879.4944431923686,1876.6306751043307,1875.4201421842627,1874.7765193610337,1849.1804854454128,1870.8712645860478,1874.4605851731426,1917.4611825978975,1922.0391476731675,1927.5630814313415,1868.5032413969147,1856.7439615173998,1845.1231994770944,1876.0519891955682,1875.7506417182583,1875.6419551492559,1847.0305906929887,1875.9212026927678,1869.6078516279642,1922.7363426580891,1915.7098368706495,1929.411871798647,1865.4045555012497,1869.3488974595832,1873.3674485448057,1879.2480774321511,1879.5356789453099,1875.588012303939,1852.149459675996,1871.8700122373225,1872.3710618162042,1915.3351792833707,1928.113475847251,1929.6239640361182,1866.9790773375798,1859.9710228118092,1881.417753830001,1879.6222263670215,1876.5203838407679,1870.5902411207944
BONGAIGAON,1872.3364673260614,1849.5221742941815,1872.286360628859,1873.0960080603777,1912.4057191168658,1931.8206279063143,1920.9643403770185,1871.8068888104701,1871.9198905522187,1877.350716977287,1874.8778981222092,1873.92878569409,1873.7961450833916,1847.9245509157518,1867.1817418316211,1867.9154715732075,1906.8348322368654,1934.587433620567,1926.1810489290838,1873.2933967214237,1871.753733702171,1880.3063093029762,1879.5416978773737,1873.8439342893716,1871.7645258485406,1853.3293639810975,1873.5944606782805,1870.3388876391202,1921.588315618399,1925.5938888350386,1922.534093751022,1872.297623798209,1858.0389138769287,1863.1218737923848,1875.9784795933983,1878.530472265676,1875.953932009582,1850.696704128736,1876.902018854848,1871.6415832293471,1924.7502124696202,1919.3883880645174,1931.3646048468909,1872.3527770182723,1871.8875133904376,1864.056446447918,1878.5479643493188,1877.9167724817353,1872.1156405467805,1852.1296159149263,1872.1462076043974,1869.662672877817,1903.8720015960125,1911.771124246095,1930.4737844712345,1865.8301549479902,1857.5754494448124,1862.7499528990897,1877.4099652883176,1875.341015033694,1874.327376985617,1854.9842793307482,1873.4759122349026,1869.2526493128378,1919.6054446832113,1920.281962500802,1928.3017159320502,1865.6255232646865,1857.6798232869912,1879.254943496777,1878.5564037589504,1875.5419482627033,1874.626636375331,1849.98314323403,1871.0707241569598,1871.402485368275,1915.2855837689713,1926.3175279355728,1919.7679293151662,1899.28906155568,1863.682834251101,1878.537776314069,1876.4672399109281,1873.4391975398248,1852.0040198172978,1869.7941587971127,1872.416474930819,1909.0791541979756,1934.7291370725866,1911.0735764674375,1872.891077282878,1866.93154572996,1875.0412260268984,1878.8946375609403,1877.058368513127,1869.2628845775484,1853.9187431019216,1874.2397939459177,1872.2308172769622,1923.3107876801412,1925.7428624109425,1925.7851003675198,1867.0657595145915,1851.9762784593267,1863.5223046456313,1879.4363265086997,1879.2222757914556,1875.3359838462186,1849.4797502899767,1877.7336874887803,1876.3105185656382,1915.183472372719,1915.9063812442073,1912.4901186873306,1864.4152595198768,1870.093221719017,1866.1716250418053,1875.0811633679527,1876.5477795384136,1874.7803736373992
CACHAR,1876.9364571221333,1849.643774670176,1877.050285424426,1873.6497969890754,1922.3503519056915,1906.2860635175052,1903.392685747747,1889.2022789820896,1873.146454300311,1856.4603844226954,1878.1749430606526,1877.9726964606136,1876.3188885679212,1851.4351574594716,1874.9906690288592,1872.0468960749863,1913.4792403349147,1900.0680950440888,1926.1729818633532,1874.08416717133,1873.7682856828112,1866.123439313335,1877.6672251852158,1875.2583287309967,1875.0475146131607,1855.2973541349622,1865.9504870898288,1873.4612630879767,1920.2944633316897,1892.910762730778,1895.6564857932715,1871.1348632711058,1874.1045942585847,1874.0918393165678,1878.428392706759,1876.7577448534025,1875.8201429979188,1852.5191987977353,1874.7474641773229,1868.4547244381235,1922.939650758643,1889.7733989042501,1918.5164266803633,1866.1411908623174,1875.8898006452566,1880.5025274727445,1877.4129845796404,1876.9360662357972,1873.7882170406076,1854.6675629034087,1872.6917294812883,1874.5342935760182,1921.8657431461804,1912.4067342014007,,1865.846808715147,1871.437369981749,1854.149603219464,1878.21248136225,1872.0174031597994,1855.4821849489895,1846.8181974765987,1871.9169466447688,1869.1823010640387,1913.8585919215875,1902.946485230177,1927.0882739265357,1866.781392712453,1873.2924315296993,1848.0472058320186,1877.6622926777486,1875.6008673662195,1849.5874478451206,1850.7817126977695,1875.2236515520858,1870.1064663071957,1919.7986168604427,1902.0180699955522,,1889.075525749388,1861.7404917357119,1877.8539501233015,1876.464162709338,1876.9960533561073,1850.4254042760008,1874.4361031230126,1875.1829008240354,1919.393014796585,1895.5301163333268,1927.832904346755,1873.6242478907654,1873.3157540247792,1870.5935961390758,1878.0769378279326,1873.99560631823,1875.8932306449442,1853.9176993975218,1875.4123170323087,1869.8019923866543,,,1925.8316677952794,1871.7593684507408,1868.4162823818817,1849.090871888153,1876.194764587853,1879.4813809013044,1875.1563062153643,1853.5488847227316,1874.7709898927262,1870.6795141567184,1921.6787967078246,1908.5496109572573,1914.6194213328442,,1872.8536525528655,1876.9875003853963,1877.6203338182245,1872.6109963385472,1872.924222078043
CHARAIDEO,1872.6925385421537,1849.7408935662231,1877.7349531959305,1869.54715099511,1922.913061994277,1917.9639585501093,,1912.1961012617687,1872.9601498675474,1878.3086675068223,1875.5524739434245,1873.491044065196,1873.3523010439142,1852.5555983237439,1860.627697267957,1869.1281892777358,1911.7633887107038,1918.7488911715886,1918.546263357473,1896.3544795857706,1853.466923510153,1866.3959125409433,1874.1467426656304,1872.087053083429,1874.1696991984293,1846.0177494821808,1872.8580582012357,1874.013120017429,1909.6003414754923,1915.9354270647843,,1874.7422997299175,1873.2027595099967,1879.7606851545788,1877.7316222627703,1872.7566673755925,1873.6220067954675,1850.4621508699884,1868.4441748729137,1873.9964332265572,1914.3854206478793,1921.6131728859923,1918.6998468946774,,1871.8385074434404,1876.3350940621856,1881.5207626677727,1873.3003205490313,1873.690011469476,1846.2734683869937,1872.6294511187184,1892.3426545426198,1934.5077887637945,1915.8945811484543,1923.1179447588397,1867.2780678982801,1859.1778483942587,1880.7669442123708,1873.4327039200934,1874.2550355696646,1873.2487761625482,1843.9436429845655,1875.8592644313073,1867.4046517004895,1919.826920529431,1915.5107905599377,1910.7917618372649,1864.945408934258,1866.2010364488794,1846.3147109036777,1876.4187881258038,1871.6132384283594,1873.7248369410047,1850.853219803337,1873.2502841381086,1872.6858429360998,1911.6110644822998,,,1866.7773890526107,1875.314439029561,1881.2180993877091,1873.0219083959178,1872.4115802471015,1852.206524429317,1865.2112100330944,1876.3816717532297,1922.246472082753,1915.3440560508857,1909.7574793925012,1902.696308041875,1853.7914920895412,1867.390909716102,1877.483847578251,1874.4515642704434,1874.043687291697,1846.4098769499358,1872.596294403658,1871.4715671055721,1898.8288478280047,,1909.116167037481,1873.2755393698312,1870.61914331134,1875.0458853488176,1879.7017831811133,1873.6056687572784,1873.4243606659802,1847.5321207793193,1869.6661546056607,1873.544993282848,1918.5107544554253,1917.561187413763,,,1872.1662873342898,1880.9584925091967,1877.577915955363,1872.5197952240237,1873.479023948816
CHIRANG,1872.0028137966353,1849.3700150275524,1873.9082577624567,1873.19684531518,1911.049299692114,1930.9782192475145,1929.0331491881298,1877.2930471164914,1871.31615045459,1875.5748246242886,1875.227352030477,1875.437872920995,1874.486396640676,1848.6796627276549,1865.8566294168343,1870.6238990830955,1905.7137327135815,1942.9741553466667,1928.6027118652546,1870.9485661344438,1871.233241990599,1879.1842208110718,1878.4157160346545,1872.3527789221473,1871.9693275647344,1850.3573448938641,1872.334997905444,1870.439741025431,1917.6755428640652,1930.7570187189751,1927.1521240609095,1872.4518132658875,1849.2477434311904,1867.4097305823477,1875.8873271359091,1877.1760203179497,1875.2129058259814,1850.647046982328,1876.0233322244912,1872.4049334515598,1925.8724649738278,1923.7198951680298,1930.451700206717,1864.5321774602712,1871.6729784766853,1869.4671702399678,1877.5864077087138,1877.506845300895,1870.3137865040635,1852.4680918112922,1872.2182200938587,1871.2569603767697,1907.0730226529508,1923.0089655212842,1928.2828518259678,1865.197901550722,1852.966931650973,1872.3114278280366,1876.898537805674,1874.5280717346718,1873.825859534537,1853.8850906691932,1868.3825245548642,1869.2325098723525,1915.9801156497763,1931.179465222629,1929.133577146009,1868.1641309681681,1854.3738556249414,1877.519988182692,1877.5617707690596,1874.5170042686987,1873.9545353965123,1846.1630727963156,1867.7716128296834,1871.1209304724778,1910.1800930842153,1924.2055875935353,1926.9578924453178,1886.195851108304,1870.6647986405005,1877.3803089445296,1875.6049106638197,1874.085291609162,1851.9689334466889,1869.8011474973432,1872.0532494674453,1909.0155651947773,1935.6649054872678,1909.9295912799046,1869.855941650774,1866.7586767339883,1873.8614596980913,1877.2492624290276,1876.5639737470865,1872.9837068034922,1852.8228646208718,1872.9511609159508,1871.079589150247,1920.2637092845262,1929.6845310669007,1930.4080958582158,1868.3468162905638,1848.5472027287076,1866.6234289009956,1877.280048978929,1877.4644003375602,1874.5622894427174,1848.806560618101,1875.435192431075,1876.4504253821501,1912.6234068161184,1924.5198607257232,1917.5243502022938,1866.4220042634818,1867.8352009569091,1869.4692254703996,1875.702401204934,1874.0898880591008,1875.2014356543327
DARRANG,1872.9930965910553,1845.8634811786642,1876.219704152898,1872.1917384661842,1911.071383681464,1907.2699706255735,1924.497057038522,1864.7580665650005,1873.3698658248989,1872.158898782078,1876.6202276669703,1873.6306912162315,1872.5804951099537,1852.5197070966144,1855.6577060315374,1868.6089175261206,1913.4482237265006,1913.9459797435732,1923.4738006708446,1866.4648224119574,1850.5328978901834,1874.4466930724914,1875.1022563285678,1872.0763905757935,1870.7629804580615,1854.7289064942559,1867.8761023594018,1872.8345479069833,1908.4237982748423,1913.8003417519692,1922.3603826374235,1869.0092098293285,1851.3258804085942,1877.8143235991072,1878.3300387855043,1876.376121726412,1876.9640906329548,1850.7349089650081,1872.0038456396508,1875.1645749774461,1910.891119699772,1919.5116220136874,1933.0757756742828,1879.3998298030747,1871.1157654162846,1874.8586890895415,1874.4680481572655,1873.4416271856398,1871.0138349543201,1847.0078305537875,1870.5806065462045,1873.5511216660911,1918.0348333384159,1916.9670953480038,1924.6696761157052,1872.9685724715162,1865.5419976887188,1868.5218775411583,1874.0362781800386,1872.6085823815804,1867.6658106721873,1844.4777865251076,1875.2571189517198,1874.4161685761228,1926.4321236180356,1909.608198727057,1926.1637808474984,1865.1020144189763,1873.9088216104713,1872.3594404150087,1875.82980434552,1872.942052856268,1867.7489874738558,1851.2348834629313,1871.2895044633567,1876.837485892171,1906.3662053620224,1913.7061023566334,1919.4660292230644,1876.6615947789046,1861.075143727038,1872.7372003112364,1872.8743939540352,1872.1996017393833,1852.6648271567335,1858.3081031945426,1874.7528830420144,1912.7421061184345,1930.619343913209,1927.7072546548354,1866.7041850452654,1846.2661047592287,1874.9555136844908,1875.5576393904362,1872.6711023167188,1872.0970746705843,1855.17466656258,1873.609403953929,1870.235361995891,1909.951427788675,1926.179391948283,1923.6910077755174,1868.608145560541,1857.4165005873,1859.804177828875,1877.9278873760768,1877.4004606698254,1872.053306221739,1849.149583636575,1866.9610626725478,1874.3635170392981,1921.626155267281,1925.4408212873059,1911.8267158395306,1915.8412418327614,1868.6118234666444,1875.3749178652076,1875.3199576419734,1873.9893739387333,
DHEMAJI,1879.0124969920155,1851.2233013316586,1878.3228571319949,1867.7420695198152,1920.3837315322473,1918.94408996157,1931.9224120164984,1911.4070222242774,1877.2741687601572,1880.7313005129863,1881.4658392262695,1879.183887834386,1879.3599866838508,1851.8603790552013,1866.388436431052,1866.3559208473207,1910.3123136175254,1920.0162646531962,1905.5992581254934,1869.1031046481025,1855.2162800349652,1859.1059136401332,1880.2216824951606,1877.214002522216,1878.1476682452023,1849.2650252240765,1873.8152794897217,1870.185979504961,1907.7091065325899,1925.2099507067692,1920.4544770301115,1877.0308765742554,1874.9749580337004,1879.8534974040642,1881.4871843186984,1877.3439323040445,1879.5942979067277,1850.6671300570142,1875.4818043917965,1874.6075422590739,1903.1923434027974,1922.0873123163183,1921.0667385877978,,1873.5272766243334,1878.1034275839752,1880.54311198047,1875.4937650692348,1879.0614537663955,1846.8297454978042,1865.6863246437738,1910.8780917960719,1923.3521067402512,1907.5204751281324,1921.9776403803642,1866.5418489781598,1871.6072152288914,1881.2687716060173,1877.2571193203728,1878.4051038828666,1877.742270669825,1849.3957374411223,1877.2098015406352,1866.0306717502501,,1916.205867063096,1919.7689346532115,1866.5749748634105,1868.541358486085,1850.2565429541373,1875.8920475629957,1875.4388709481955,1877.9877379811792,1850.7590386293098,1877.4163140428209,1853.8260954311554,1907.2272850844392,,,1871.998893937798,1880.7509186240202,1877.1959883635252,1877.4192778988727,1875.0919053029504,1853.9708133128868,1867.9245113481493,1861.186471207813,,1907.4082623642414,1910.4804361452975,1874.8373161124157,1854.348673054558,1861.5721348473521,1880.9432449022556,1878.3000754076297,1877.5529124231841,1849.0849934736505,1874.2968815961017,1873.5773383858784,1916.6623799749555,,1913.6783868611678,1871.8338914625124,1876.1712937730622,1878.9826016763907,1877.8821099342524,1880.1984238444438,1877.87335892623,1848.8028493705456,1875.098717730606,1869.9982359077792,1918.9221588022465,1909.588219210546,1917.1661552836558,1875.6255682631347,1872.5028541942631,1879.6065465062827,1880.9503851741727,1876.1236503865587,1876.7100254673103
DHUBRI,1872.42052456862,1849.0131259226657,1872.9967134301742,1874.9043382572888,1919.602881484648,1926.53874059852,1930.6483209263392,1873.044006024805,1871.3503295872674,1857.89078715665,1879.3361316426913,1880.0831471621325,1859.837125808387,1848.0954337808714,1872.0303757691509,1869.2763334177416,1915.9193228804745,1926.3499964334976,1933.5152123323362,1870.286849320886,1874.7498053679578,1876.7047362888727,1881.054590924345,1876.1095632935146,1876.4458343928723,1849.953149702558,1876.9761416437032,1872.514063762439,1925.432364622268,1915.768980972474,1922.3381151978501,1885.1817417272955,1873.5127437544609,1876.088235467304,1873.0150062973644,1876.8492216577908,1879.5650217060015,1850.3684178268452,1875.9287008550652,1877.2243536504689,1913.3665815902236,1923.1522198172738,1930.2681871332172,1863.3578387692141,1871.2080140604185,1881.0504024359748,1875.6251447944694,1877.9766039164851,1871.9204959935291,1851.8200319167845,1875.6117664604292,1867.5445755345204,1915.7414407921071,1929.1074252281599,1919.739969114306,1866.1875841582726,1860.7335529925701,1872.4662018405734,1878.9834467934945,1878.9107981700163,1877.046944108898,1853.7412148839398,1869.8990960282774,1870.0478628665476,1923.342656898797,1924.9853919572213,1923.6361139529768,1868.5740071989349,1854.0925405714688,1856.4360593344654,1875.5616978462845,1876.401412766792,1875.1810068660209,1849.5814561362542,1867.4312111685158,1866.720365995858,1917.9605249357005,1921.8772593858237,1917.0773074720482,1880.6356906537785,1859.0380236262758,1875.8210807201142,1880.242050719961,1876.5057596438803,1849.8973343074795,1877.023189680895,1873.584782067333,1919.4492371542485,1920.4209919333248,1906.273557655593,1871.6788448702086,1873.355701626394,1859.864279131629,1877.665012031819,1878.3233670937052,1876.3280554335,1848.287028557973,1875.302777679614,1874.2849429295904,1931.1236535098058,1918.120054275186,1927.531602669782,1865.0938015376719,1869.690856593641,1875.662497141597,1877.4922798593273,1878.22112556272,1877.408778151764,1850.5861693211352,1875.4932250176769,1874.9212255532657,1910.7450475535334,1912.224797396275,1903.6278390443308,1865.6285331290385,1876.8365469679545,1876.7372602121607,1877.908668105425,1877.9430085731926,1854.2231471531704
