district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_06,2023_08,2020_11,2023_01,2023_02,2023_03,2023_04,2023_05,2023_07,2023_09,2023_10,2023_11,2023_12
AHMADABAD,1851.8801156327763,1852.6223266414102,1875.774395619016,1874.4196808528586,1906.5042924359827,1890.6946347364546,1887.7533862712694,1865.999949500858,1875.3307650267373,1856.7317443054956,1878.206897324159,1875.8124052901453,1848.9186656354248,1850.6270089323343,1876.2465838426021,1874.8652384452519,1910.5638627284986,1890.794921420793,1885.8776143749967,1865.592425032273,1874.6903947335084,1850.1203786398091,1875.7241940729032,1875.8540839786142,1875.529874025983,1853.1225011042661,1876.046055912278,1874.8180504908057,1913.1840760680082,1889.0042886133815,1900.1557490393907,1918.9254665111182,1875.3651256616379,1847.5526634184548,1875.6832122787096,1875.7617155405362,1875.3634747339431,1852.905320361856,1875.1016487575023,1888.8986993521264,1912.8794033421377,1888.5391348283752,1890.069111083992,1898.3990132560732,1875.635691245683,1849.5552828735483,1875.6743958643926,1878.53067805146,1872.3311197352893,1853.955816755103,1875.0421415914254,1877.6946881141246,1902.4639017566712,1889.5559911992843,1885.3790801050295,1926.203397959786,1874.4343064579264,1851.1475933725096,1875.6856657386127,1875.7251275398423,1852.7733834702094,1852.8385015173847,1872.6306996195651,1876.6712597465378,1900.8212214595958,1894.2992010688538,1904.2897912784777,1873.5633692399826,1874.960692611232,1867.870353145981,1875.2098688453495,1878.7222940714792,1850.1487503959127,1854.0098479306885,1872.9591160982336,1875.5690646232322,1901.8086698947056,1888.4663381199357,1909.5961336641376,1892.4287157073577,1876.2407881419088,1875.4836652928072,1875.5531370356773,1849.8958845975803,1850.8287847228478,1875.242519893353,1880.6967123041372,1923.6052711117898,1886.931292596355,1886.5568910743896,1866.9986239250934,1872.8505915579194,1849.0607490436598,1876.2741027743855,1879.1438528033993,1877.5720680993434,1851.4643187404201,1874.5664002092608,1887.6872331878874,1911.2977790471484,1887.6829186190835,1921.4123686792805,1868.1715522821144,1874.4292016052077,1849.1237524555559,1875.6243822060237,1875.5871326925567,1890.2525491718593,1892.7215922681596,,,,,,,,,,,
AMRELI,1851.3330416961096,1875.3172943404275,1874.891643665379,1872.819595369159,1898.6843235799588,1890.3448362309755,1891.2705273365573,1868.0679028792144,1875.0747317543037,1850.4558438295353,1878.1029692522482,1876.1254176569441,1851.4005628679881,1852.9199512160267,1875.1543169695155,1875.7060222973835,1900.8811171476427,1884.8633919837982,1878.4086665292107,1867.0115887601978,1874.3258503726286,1851.2700848379266,1876.3107225693036,1876.3433255287612,1857.8697428220637,1856.600118169632,1891.560276534924,1873.2862667932893,1906.0510177900478,1880.0584749219306,1886.4351249970155,,1876.5046374014855,1849.698742450802,1876.3420236663787,1876.2994093192642,1849.9174773772809,1856.5363161574778,1882.3050351437096,1892.8492926816941,1913.1768076480303,1890.100324548451,1892.5752101337932,1888.3742233469236,1876.0973742078831,1850.6465377135203,1876.3024371587087,1877.5937701764374,1850.5934141868968,1862.199829752879,1875.2752767574657,1866.4318170037438,1892.77579833908,1886.9349001765115,1903.0880186469092,1873.203070223176,1875.3278797522992,1850.147049968344,1876.3134733510851,1876.2843027629563,1851.8922818042763,1874.3589274600038,1874.8530644236373,1886.3468422608978,1893.4271897655124,1892.340375959239,1889.0752673513514,1864.9799657708402,1875.9370398848869,1849.652755319924,1876.2170978801116,1878.4088372288234,1852.2222782887204,1873.3015987160666,1875.1681977916076,1874.8763345820907,1896.753524078972,1883.524475377999,1890.5468310139056,1867.4272998167314,1869.1774226575967,1850.6918897991718,1875.7909812890937,1851.9644999669024,1853.621773175513,1875.154257793147,1888.8939619294683,1910.9727365549509,1880.7337108055115,1877.7408456226512,1866.5373520691396,1873.7732947770114,1852.3850274942329,1876.1422199056556,1875.9220943338223,1854.8239353154836,1856.3593054230976,1872.5164156229991,1888.2380136087525,1902.4014731708878,1879.6477688152627,1899.1682420674665,,1876.5069817062722,1849.8591660571615,1876.2841859166579,1876.2705209071787,1887.54638089868,1880.832331101262,1875.3962876874482,1849.8264107508014,1856.6805632111848,1875.4077058182415,1871.2624436419856,1896.4564266188966,1897.428165515031,1873.486248214244,1851.0808382557286,1876.2611395516763,1876.1877880833767
ANAND,1858.829865776096,1853.2410793802026,1874.2328969949094,1871.2965642706222,1914.5062509188338,1891.8025795232586,1890.0348470556564,1863.460939141228,1872.6439219448378,1854.3944887844998,1875.4967055167458,1875.0533326931097,1849.6568522646792,1854.833598014331,1875.1303176193273,1865.9982842029535,1905.8163837678774,1887.9666192395,1884.3211888344556,1867.9997829408003,1872.3748332600906,1849.8829775698102,1875.5237836895817,1875.4784364874913,1858.5318940777925,1864.216397240693,1873.5773420831747,1872.8267408439556,1907.270718648939,1893.7071883702292,1899.8692523918887,1920.4535107066995,1873.3880404991255,1847.623978650263,1875.5298230228884,1875.5297874405453,1858.0130691053303,1867.2844958396531,1873.4048102682832,1877.993510355241,1901.860948684723,1888.5712969892218,1890.0064959063445,1908.338485782835,1874.336362112886,1852.050076181701,1875.4972822665993,1880.6958751248596,1875.3329346583268,1851.230424621219,1873.6177970358583,1880.860029597275,1905.1047302222441,1890.230510552378,1889.2491820859748,1920.019488409141,1872.943951674747,1851.0866650340447,1875.5309749395517,1874.8502025860948,1858.781642618051,1852.743258209079,1873.6412067585143,1872.8972021650654,1912.4800073675935,1893.3174666646732,1892.4311347372918,1925.8950992006646,1871.96038422921,1858.1624878014613,1876.1099390114096,1877.9198223792807,1848.8701524003015,1852.572419990416,1865.6210473853157,1875.2436239354272,1904.9988669758222,1891.6089001931105,1894.4334720708555,1916.2505841417208,1874.0690618851004,1858.6682741345926,1875.4344444388362,1850.0663715853768,1854.895551477358,1873.9029406351453,1875.0644795119624,1931.5768302418248,1885.2151383154292,1892.759373633215,1904.790961105031,1869.5119307915936,1849.5554973024036,1875.470154535455,1874.8168147010003,1859.3105673874422,1866.067623115283,1871.9693083188458,1873.9310612322124,1910.9411427965063,1893.3795029785992,1920.614315346017,1866.176232156551,1873.6950296473672,1848.9088191811788,1875.6264743608922,1879.6444524397486,1897.4050324697173,1866.4455165477405,1875.5469036043996,1857.661354841251,1867.7408915541748,1874.043589167342,1873.4642807411667,1909.514761113992,,1871.7105446378828,1851.1729546079619,1875.487482707364,1877.574173145028
ARAVALLI,1882.0437452007857,1853.4991428390613,1861.6792742434802,1873.3917295309557,1911.4861692834545,1892.1645707673995,1900.6275022252846,1864.1630062916852,1877.2920135211261,1850.2290567150264,1876.323792242812,1876.6865761638785,1857.9021205937145,1856.742184217225,1868.1710537808278,1864.00849727199,1909.0043977967784,1893.8908694177387,1888.8100400973067,1867.5175052080967,1877.1045634822967,1850.238111124821,1876.3415441856355,1876.023485439044,1849.9331472401734,1857.4263974327419,1870.800369853159,1869.1736091533296,1906.5243429250404,1901.3612885365326,1908.2990618037768,,1876.887693198348,1870.8546853762164,1876.329292120753,1876.0680313178877,1850.776016130129,1861.8232310325277,1875.6389363768046,1875.8297100328516,1901.7028961107385,1890.9724844099496,1892.2798056129534,1912.4404559548893,1878.5497696511554,1847.9399366098135,1876.2721758198024,1883.0565578217345,1876.1988468535358,1854.133098078181,1875.3369208664624,1893.8593683367749,1900.4339897844554,1893.9476148829842,1930.4776313947011,1877.522520867684,1876.817336982799,1849.9842227722086,1876.3411790707046,1876.1282511322831,1873.945990499061,1854.3119325902767,1875.4560604985832,1875.853275526172,1893.910209060717,1891.7297459648685,1894.1148869898038,,1869.8477436398039,1850.2329121861762,1877.6815337374594,1882.5174917839367,1881.8369087930657,1855.0953585339996,1850.4397209763465,1875.4028907519685,1909.0730003818019,1891.728642389101,1898.7362060333244,1911.6365848263033,1873.7984203873327,1850.0469861033507,1876.2691685490554,1855.3440526664224,1857.10677698568,1875.581361960235,1875.6974514323736,1921.9476178917341,1895.1060412112063,1890.1319981851764,1930.0357424639512,1855.2003348250032,1851.6335966235883,1876.344859243496,1875.55479822357,1850.2020673404033,1856.6567551211638,1875.5550349779285,1875.8061561699972,1899.3909481143712,1900.1108365416324,1892.8958370414387,1929.1175325396432,1877.6332357099243,1875.3872485516201,1876.3403224481076,1878.8896236573069,1892.8240663509566,1866.3208896309661,1876.2251823608997,1850.4914067447285,1862.6788500892908,1876.5896816976917,1874.270487794006,1909.3994528113667,,1878.6100673255514,1849.6682545488645,1876.340609184077,1877.128332362204
BANAS KANTHA,1868.4800458859586,1855.1019566529542,1874.5940780996175,1875.3130535253408,1906.890837105713,1902.277531784383,1896.469374645648,1867.6620258170244,1875.5517009028615,1851.302695882014,1878.1587581049503,1879.458813228334,1854.5957309965445,1851.2366120305805,1873.502182968323,1880.9156430264982,1915.0770520509134,1894.9952212122696,1899.829369651549,1871.2958794319159,1873.0981976040632,1854.804707800758,1875.8994322998617,1875.4852663121073,1875.1285529537283,1852.3080102911833,1863.2915534714355,1873.4219692376328,1914.411433848676,1892.687119485146,1926.6494719264147,1883.0571807745876,1874.9785394544404,1855.4608748444637,1876.0793553092376,1875.5821181127071,1877.5840914006405,1852.452931702884,1871.6724526569024,1888.9752563185932,1909.191652809679,1895.3085162823472,1897.3243429435847,1869.3880302684865,1873.6160457653807,1856.6382027870025,1876.0346921642965,1875.6414656669633,1875.6335535863059,1851.8054847678977,1873.4058055261662,1875.1940351223925,1908.5533588502008,1895.1081291466915,1895.5077847094365,1868.3071411156307,1870.2885826095817,1859.8632839086115,1875.9156161163005,1876.2335475656935,1867.516414154297,1853.9874359703897,1863.3638050832997,1882.8517879059752,1907.815929117746,1896.3924009768796,1926.175604658283,1865.793909036378,1864.8364968551373,1871.9839504636489,1875.4774224991086,1877.0164528068567,1859.348214602049,1854.937543364951,1873.1751226777606,1873.6580598994803,1904.2542367736312,1896.57660742946,1926.6546464979572,1897.6746217510572,1875.3425964913004,1875.7738909456348,1879.9692591441742,1854.8466986957988,1851.6541107240096,1874.111589061741,1875.136514263864,1917.8084453355812,1893.4002265314255,1896.2466532051785,1872.0205035554345,1873.9233387955546,1854.2467529035514,1876.1265094373184,1878.9186308680123,1879.9831279112384,1852.1721397310332,1873.3390064297575,1883.499945822673,1911.8332081445424,1894.4278099628905,1915.5379047471183,1883.4199324747635,1874.6758566118554,1856.791079814616,1876.0231668893343,1874.6592111685154,1893.6777776328859,1869.9596622230913,,1878.474579640437,1852.1654909568183,1872.9990206707366,1870.6677312580505,1905.3338713224225,1890.8954901490206,1873.0885453910291,1857.4619845088598,1875.8415995309642,1874.8887532175174
BHARUCH,1855.9029813480886,1857.0174685593502,1875.6085065739428,1868.466172555906,1913.407080566428,1892.5722031933187,1885.558064428459,1882.3551449573692,1875.4644395606201,1850.8375116819402,1876.391930463465,1876.360216682126,1851.9262705733215,1859.0163810291056,1876.4156443849845,1864.5156362029347,1901.1807027791585,1887.7934853797979,1884.7518416790263,1866.0780303760307,1875.882074063907,1850.2400667755587,1876.4414403170147,1876.4214458815152,1850.4581535140433,1874.303034795746,1875.3971865038297,1875.0060739340604,1907.5979658282513,1885.8979761926732,1924.6393988889283,1918.165299081366,1875.5388392183702,1849.9948441095778,1876.4041144459165,1876.443414744126,1850.2557198220463,1873.9641629220482,1875.1814408293064,1875.0990707212754,1900.6838967210315,1887.6337077563212,1894.8417360898363,1922.167229184465,1875.406555688158,1853.6781787531722,1876.3375947678255,1882.1121770877087,1875.3178271164522,1853.6521645099463,1875.2547345131168,1889.7386903892118,1904.0935064764726,1892.8176857904184,1887.188484476364,1901.9757770132528,1875.9923734740796,1851.4938673182378,1876.4082178571891,1875.8036471758737,1857.8192370112777,1857.0365327966842,1875.2710046986256,1870.6304546380566,1902.5019948500485,1890.2961638988543,1886.4936901526692,1910.4641737565992,1866.2594470813324,1849.3383973142322,1875.0488100127225,1875.302549986125,1850.028465447058,1856.814436481156,1855.9789015390913,1871.6049523270983,1903.835414308686,1891.0006211620644,1886.3144891405855,1923.0750807633779,1862.4716047695629,1850.4826673835612,1876.3805717247096,1849.9504018678592,1860.563095140882,1875.378052800012,1865.5059311694326,1933.4833760624238,1892.5992743958254,1897.8549920423714,1922.8861673021631,1875.3691457518216,1850.2912719115347,1876.3744277637397,1876.566956623548,1851.3074563048406,1875.0167266676465,1875.3143814989364,1875.4235380305802,1909.0976168486611,1892.8633732569544,1923.3862128111202,1864.9004607931968,1876.1142054560578,1850.0387479375725,1876.3721660800898,1880.8994920531088,1894.8880104379468,1864.802117646108,1876.3847347206097,1850.7976136490581,1872.5200500474891,1875.792066304178,1875.3713114641419,1904.1657262597237,,1875.805602537849,1852.0258399216634,1876.4171960802328,1875.9880109906596
BHAVNAGAR,1850.3502589129228,1867.2275922312028,1875.9078479166844,1874.9501502868472,1902.9144239276584,1890.4616476625229,1887.9101673281423,1868.7574945331066,1874.2234967206853,1857.5548381981341,1876.6273402074644,1876.1327152662077,1849.722077633614,1850.0011683552643,1876.000688622191,1878.7526498983696,1901.955769183559,1885.991650223115,1878.0157929256943,1867.7309430175314,1874.6555230158206,1850.0767138675837,1876.0831967334318,1876.1932544941778,1875.9340822225786,1853.9845822771367,1877.5308511568883,1867.3413530953014,1912.7929380371136,1885.1968783487607,1904.1246033194877,,1875.7974545023644,1847.048680783441,1876.052007615048,1876.1238706315169,1864.6089146743616,1854.4791710103766,1876.561134680659,1892.4857192235952,1917.4531112512836,1889.0667055072197,1890.4362101341574,1914.941629069727,1873.5999426390065,1850.5285055044292,1876.0158055165296,1875.4632519256113,1849.9678108608095,1854.621786863989,1875.9276558203585,1873.901865993367,1897.826534778933,1889.375543044917,,1872.7202922487586,1875.3501859034857,1850.5091331326696,1876.0603629909128,1876.1581619003073,1850.3693097643372,1861.4499388203965,1875.0540928890448,1884.6546706465904,1895.0425821813285,1889.1393133888484,1888.3910495514638,1880.7210834333193,1875.287898221816,1849.7008905250655,1876.0968100048335,1873.8589987198095,1850.7790119288802,1872.349898842549,1874.9739080998004,1876.5520041562193,1901.3067622664157,1889.3432229919742,1894.5252503381175,1873.22637759332,1871.5455081716862,1862.5029172513027,1875.9128656722858,1850.487231602444,1850.4207553630674,1875.9461201997055,1883.9115351923906,1916.5607968368329,1888.8027263882175,1874.7559359828022,1868.4665218079638,1873.465427714949,1849.4813452053747,1877.3402427631304,1878.601705667361,1876.1893119269323,1853.7202522466025,1875.3461338642624,1880.9196877472875,1912.968129875142,1886.3146262056846,1906.024976986186,1866.9279321066376,1874.9292881803342,1849.3964426301736,1875.987049040048,1876.1668449426797,1888.4695746281611,1911.493090450061,,1863.3767191237687,1853.4963140878488,1875.9938995379975,1874.7696707518085,1896.7947547226152,,1866.9713967732416,1850.2598330527028,1875.997903313532,1876.171184153656
BOTAD,1850.290045572369,1870.234514410787,1877.0857572261095,1876.8100731751672,1902.6911074705727,1892.2585396234244,1889.6181177852188,1868.5240363748114,1879.6231569137185,1855.339783808558,1879.6694467935781,1876.1016611288524,1849.6925978452894,1850.318490645181,1877.1354834744182,1873.2398959877585,1896.7666653245947,1882.580354648652,1882.1650003170296,1866.1114693524214,1879.5358478583873,1850.27178472097,1876.629763718029,1876.6325474886107,1876.406219816665,1853.8730893947545,1875.9989562427427,1876.82250730941,1902.275652983184,1882.0408474681985,1917.3411203740097,1916.04401240153,1879.1841170091118,1849.2338939451768,1876.6459533793104,1876.626473604515,1863.2733377077425,1857.3337076947828,1879.4201125506197,1890.8487580540877,1920.01844725912,1891.8394606442748,,1897.125651057266,1877.999939855478,1849.9732708468778,1876.6311512789161,1878.4248205429294,1850.0428870835626,1857.1924238247248,1877.1390636332437,1869.8882076963953,1901.177741885487,1891.9384098514295,1877.1332874814582,1922.784725730217,1878.1742892394018,1850.5698633871923,1876.6276891962275,1876.5558350384945,1850.0380688212913,1860.8261446915733,1875.0305772591312,1885.0665256938412,1889.9485474676999,1892.804986408468,1890.973171453244,1867.3677938022288,1875.2664668379591,1850.2453220215993,1876.51197138856,1881.1475054807495,1850.7722706391348,1877.2436235438636,1877.129222916615,1877.0167353904903,1896.6101384817803,1888.5952899772658,1903.4169466568655,1868.4894091674012,1874.7695436656488,1862.1351416673174,1875.8313089190667,1850.5388552860225,1850.7927904440287,1877.1120341638944,1886.5606970311746,1913.9557770028212,1884.11906236334,1881.2487740742743,1865.6831691905695,1841.6001568186205,1850.0472004825122,1876.4577744166547,1879.3082102586848,1876.2303408143448,1853.453183038858,1870.9346414039521,1898.2428350276443,1911.473251289017,1884.0910740040229,1920.5824325009444,,1879.0208778644271,1850.1678856843293,1876.6233614424518,1876.550072530879,1887.9818646748681,1884.5701775175505,1881.171651095344,1861.821925167547,1856.8450944517565,1877.135861477668,1868.6314641845606,1895.2796177032642,,1871.1482544269122,1850.02645085162,1876.6394862113418,1876.288642931628
CHHOTA UDEPUR,1872.9981421668372,1854.4857588340888,1874.9588717921947,1873.2303243209894,1901.997784541341,1885.361664045379,1888.1959556772522,1884.917701466059,1872.4592233258963,1850.3894813574848,1874.8199519054956,1874.6338820223586,1861.9098593649746,1849.1932910959858,1872.7578661770794,1871.3254382739772,1906.9801533085442,1876.3509685399533,1879.8128198246577,1908.3391173354075,1871.3021834374379,1848.8522093296906,1874.9518000713122,1874.9266661880627,1850.9032303548133,1848.946975894232,1873.275952391376,1869.0746169056274,1909.621634882732,1887.3735951405636,1898.0638064298812,1867.2421717807642,1872.097089926499,1869.3925086093277,1874.8723174495447,1874.947726464101,1850.9750289254107,1854.5144883286882,1874.0365804481114,1889.9823746021182,1899.0880056248968,1880.3545719304839,1891.0274224428147,1913.5426408423598,1873.9865133794979,1846.3007214049858,1874.8606583333856,1876.8047625045085,1873.092169573119,1853.1116165648905,1873.3068743236704,1892.0448939367425,1894.9717084790864,1886.2639626751786,,,1872.9197337233861,1849.2106105816417,1874.6312007451222,1874.9980739196706,1873.0180102075094,1854.472884324127,1873.4076864044036,1871.5438071733008,1896.3664242667646,1879.5655609004593,1895.1886589646451,,1868.8975767537806,1846.015366466807,1871.8366985587572,1876.8734380491085,1876.9333857896418,1852.3570420745534,1870.889769068333,1874.1514462193995,1895.2343576830353,1881.194462061245,1898.001355981513,1887.0105089736899,1872.6262961625794,1847.2280701695831,1874.9709510639495,1858.8581062533246,1849.177783227677,1873.4317054452542,1871.6016121495113,1924.9022723031692,1874.2821463306918,1883.6610082391624,1917.796271768757,1871.345586161649,1849.3104243661487,1874.6807052671684,1876.9115407230422,1848.6739679601644,1848.8285573870364,1873.1979485607242,1882.5364086382026,1905.5598663257533,1893.6042939109186,1887.7775967617133,1909.161080157244,1871.3613184813744,1872.0261598374561,1874.8887657084215,1876.618066517692,1893.5124946401788,1872.985355846558,1875.1490721918783,1850.193539854519,1853.8344099610533,1873.4056996737224,1872.0838086764722,1917.7378380690795,1886.0522947495851,1874.7067918135149,1849.3495655341592,1874.946732171489,1875.91306668023
DAHOD,1870.701207471468,1855.6183517261725,1874.562665563743,1876.8576554613549,1897.7630009514664,1882.6898298118228,1892.1823060282804,1877.3561324188886,1873.3873005416215,1850.9069356239208,1874.3352986119926,1874.7406386462183,1870.767041260041,1850.1432453915502,1871.2437842649947,1872.1456267743574,1904.9326074794985,1891.261713659573,1888.0539398876076,1877.7348481087877,1871.1473939480713,1861.6507543349596,1874.6258520687657,1874.6981689412116,1857.6832342639468,1847.9042634182438,1870.7835797293867,1868.7354588758521,1908.7112989594864,1896.5125888440755,1908.5786434746578,1866.0715325382052,1870.3324868239743,1870.076884154321,1874.619467193684,1874.8906931093325,1849.345885026655,1847.9205361696543,1874.1612550942366,1896.4828912429582,1901.7661517047163,1883.6300273988822,1891.869563511268,1875.3712923274363,1874.5301317748492,1845.7696351083282,1874.6782145687687,1875.58420318188,1870.5709508844327,1852.0259126632736,1871.880378779806,1895.5196708897777,1895.7152566654347,1887.5231522353465,,,1871.939861318548,1850.322843605385,1874.4083780453932,1875.4605640759978,1870.3000280823387,1856.8426656072932,1871.979538192309,1879.8393475263474,1895.4288004983182,1890.427330283352,1906.2539179300954,,1870.2472892020457,1845.6209887951877,1875.1788838742914,1878.4645172610399,1872.720288444627,1852.1960879542592,1868.800786914142,1877.2930815935392,1895.619585678421,1888.4897549718382,1905.5421994690976,1879.7188897737542,1871.6352311245525,1848.6293021077015,1874.6726922852727,1875.5367380819882,1849.6375520352694,1871.8255935259456,1876.3798483652854,1920.5769586714725,1888.8697008765955,1889.5153615504005,1868.3180636643328,1870.9775969703974,1866.9406479206648,1874.816436945313,1877.0899083605918,1852.7402137048173,1847.7463187508156,1874.2887029340275,1887.4615510865353,1899.7023651261,1897.8625365391356,1889.2107461307016,1928.869477311408,1871.2575675938058,1869.9290863462181,1874.6124103701627,1874.7052682010544,1899.4692328173146,1872.286245354474,1874.815729062416,1850.968783198049,1847.4693001144217,1873.7332440592209,1870.9759152784604,1921.0805837491266,1885.501774168193,1870.03952121351,1847.8895836067923,1874.6675919565585,1875.945895808384
